Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,yes,adaptive_forward,0.01,35.118305683135986,9,0.0014766215446621977,5.7482900155808854e-06,1.3003905406256615,True
fixed,yes,adaptive_forward,0.0001,36.620871782302856,10,5.58193247452604e-06,9.86388980483368e-06,1.0225844690229449,True
fixed,yes,adaptive_forward,1e-06,46.302308797836304,12,1.33362017066995e-06,5.951137109040426e-06,0.9995941723500187,True
fixed,yes,adaptive_forward,1e-08,82.4563353061676,18,53.52427746461195,2.2849680438259434,nan,False
fixed,yes,adaptive_forward,1e-10,82.99527382850647,18,53.74996024850665,2.2951057629745604,nan,False
fixed,yes,adaptive_forward,1e-12,82.7580897808075,16,53.74999999708765,2.178055277725411,nan,False
fixed,yes,adaptive_backward,0.01,82.02793550491333,22,0.0006773548655632396,0.0006761060193206405,nan,False
fixed,yes,adaptive_backward,0.0001,41.46510648727417,11,1.8670397362239204e-07,6.8960488485110555e-06,0.9144080318934696,True
fixed,yes,adaptive_backward,1e-06,57.074475049972534,13,1.6536294048506797e-06,6.560227638704574e-06,0.9985995467902108,True
fixed,yes,adaptive_backward,1e-08,80.5207667350769,17,53.53159603634219,2.28538571671183,nan,False
fixed,yes,adaptive_backward,1e-10,82.1739296913147,17,53.749965135854296,2.2981840062301733,nan,False
fixed,yes,adaptive_backward,1e-12,83.08441138267517,10,53.74999998783035,2.4431559616122485,nan,False
fixed,yes,adaptive_central,0.01,44.337695360183716,11,6.509807567915136e-07,3.891776909528193e-06,0.9878418724678864,True
fixed,yes,adaptive_central,0.0001,46.036651611328125,11,7.190264243594727e-07,3.4971444613511e-06,0.9999987394719261,True
fixed,yes,adaptive_central,1e-06,46.34466528892517,11,7.020675581814333e-07,3.195243830983245e-06,0.9999749320550347,True
fixed,yes,adaptive_central,1e-08,81.2576515674591,17,53.240424518581925,2.2742452032428733,nan,False
fixed,yes,adaptive_central,1e-10,84.9481463432312,18,53.74990975836942,2.2928188331022854,nan,False
fixed,yes,adaptive_central,1e-12,88.01234006881714,16,53.749999988723665,2.255863462611984,nan,False
fixed,yes,exact,nan,43.80194163322449,14,3.514067409591409e-11,9.004924795050972e-06,0.9902359106067323,True
fixed,yes,forward,0.01,32.42452597618103,9,0.001461529552675051,3.6343110136147813e-06,1.2021639717639585,True
fixed,yes,forward,0.0001,37.02060651779175,10,5.578713798564739e-06,9.856805708765136e-06,1.022598082547974,True
fixed,yes,forward,1e-06,49.62527561187744,12,7.20474775061748e-07,3.912719142232473e-06,1.0004011868621578,True
fixed,yes,forward,1e-08,82.79835629463196,19,53.57367536444136,2.287065931504592,nan,False
fixed,yes,forward,1e-10,83.22007369995117,14,53.74997747174639,2.2944412502626585,nan,False
fixed,yes,forward,1e-12,82.36796522140503,12,53.74999999804518,2.430679359488905,nan,False
fixed,yes,backward,0.01,81.98147630691528,22,0.000682572841589997,0.0006791847177072404,nan,False
fixed,yes,backward,0.0001,42.2488169670105,11,1.8691279632373025e-07,6.89727369383203e-06,0.9144612809040843,True
fixed,yes,backward,1e-06,81.02231621742249,19,3.6573389042359265e-05,6.120322942803378e-05,nan,False
fixed,yes,backward,1e-08,82.59354400634766,19,53.55117833132048,2.2862158514099016,nan,False
fixed,yes,backward,1e-10,80.81926202774048,14,53.74997532913999,2.2944865122348808,nan,False
fixed,yes,backward,1e-12,81.85359621047974,18,53.74999999723579,2.19003979501373,nan,False
fixed,yes,central,0.01,50.033339977264404,11,6.504422861104368e-07,3.889706791548649e-06,0.9878382405955408,True
fixed,yes,central,0.0001,44.30188536643982,11,7.190134596219089e-07,3.497102535908484e-06,0.9999987378164412,True
fixed,yes,central,1e-06,49.13412594795227,11,8.85959685412658e-07,3.971961915256542e-06,0.9999637437634274,True
fixed,yes,central,1e-08,80.86810040473938,17,53.34655450310253,2.27838215731036,nan,False
fixed,yes,central,1e-10,88.05532455444336,12,53.74991762233882,2.2939452563094425,nan,False
fixed,yes,central,1e-12,83.05906248092651,8,53.74999999582582,2.3157262535263277,nan,False
