Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,yes,backward,1e-08,84.54152154922485,14,50196.757544748034,2931.9182959547543,nan,False
fixed,yes,backward,1e-10,83.30669474601746,10,50412.6991006452,2940.539498915327,nan,False
fixed,yes,backward,1e-12,92.19161295890808,14,50412.72311677503,2910.910504803753,nan,False
fixed,yes,central,0.01,79.99965310096741,15,1.533673659836164e-06,0.06548904090598125,nan,False
fixed,yes,central,0.0001,65.13577651977539,12,3.706994929569051e-13,8.293545674835324e-06,0.9942898825292572,True
fixed,yes,central,1e-06,66.89148688316345,12,1.0952777372392091e-13,8.138602290072914e-07,0.9913241101469529,True
fixed,yes,central,1e-08,79.8495523929596,13,49523.03359584893,2904.0034227502188,nan,False
fixed,yes,central,1e-10,83.68297719955444,14,50412.5899581236,2940.5417531588146,nan,False
fixed,yes,central,1e-12,83.49258685112,14,50412.72310785771,3040.1598736797914,nan,False
fixed,no,adaptive_forward,0.01,79.9617567062378,23,8.824392821003281,0.7300175230022002,nan,False
fixed,no,adaptive_forward,0.0001,79.88729906082153,23,8.89257523290228e-05,0.006197080093833267,nan,False
fixed,no,adaptive_forward,1e-06,38.13041281700134,11,3.753741580697694e-09,9.517431917102394e-06,1.0800883993263564,True
fixed,no,adaptive_forward,1e-08,80.60069561004639,19,49975.71799180038,2922.772724596913,nan,False
fixed,no,adaptive_forward,1e-10,83.15467739105225,20,50412.67407151392,2940.5380460446936,nan,False
fixed,no,adaptive_forward,1e-12,81.41402554512024,20,50412.72311460244,2958.8198501201855,nan,False
fixed,no,adaptive_backward,0.01,80.98096799850464,24,0.0075964198761054105,8.979418865850725,nan,False
fixed,no,adaptive_backward,0.0001,81.45302128791809,24,1.3436547438225498e-05,0.012617589930585675,nan,False
fixed,no,adaptive_backward,1e-06,82.61113214492798,24,8.154450792707359e-11,4.101899235313833e-05,nan,False
fixed,no,adaptive_backward,1e-08,82.55864191055298,19,50031.71921267526,2925.1164929065703,nan,False
fixed,no,adaptive_backward,1e-10,81.32401013374329,8,50412.701322492205,2940.543283216877,nan,False
fixed,no,adaptive_backward,1e-12,86.12111186981201,11,50412.72311758798,2914.618209497056,nan,False
fixed,no,adaptive_central,0.01,83.97594690322876,19,1.5309283630575319e-06,0.0655047928526648,nan,False
fixed,no,adaptive_central,0.0001,53.591350078582764,12,3.706988025802967e-13,8.293542631204022e-06,0.9942899488510302,True
fixed,no,adaptive_central,1e-06,54.37707877159119,12,1.144125383446908e-13,8.32797966989917e-07,0.9912746765892518,True
fixed,no,adaptive_central,1e-08,83.66179013252258,16,49342.65038585612,2896.502902803855,nan,False
fixed,no,adaptive_central,1e-10,82.73404932022095,16,50412.55659619982,2940.5420648415407,nan,False
fixed,no,adaptive_central,1e-12,83.26341366767883,16,50412.723104410135,2911.5742399600063,nan,False
fixed,no,exact,nan,25.442461729049683,12,2.980478700027813e-11,3.5055116234338423e-06,1.0000257556746408,True
fixed,no,forward,0.01,81.83418130874634,23,8.824392821003281,0.7300175230022002,nan,False
fixed,no,forward,0.0001,82.24954915046692,23,8.89257523290228e-05,0.006197080093833267,nan,False
fixed,no,forward,1e-06,37.71109652519226,11,3.753741580697694e-09,9.517431917102394e-06,1.0800883993263564,True
fixed,no,forward,1e-08,79.75987720489502,19,49975.71799180038,2922.772724596913,nan,False
fixed,no,forward,1e-10,80.94434475898743,20,50412.67407151392,2940.5380460446936,nan,False
fixed,no,forward,1e-12,83.1476891040802,21,50412.72311444943,2953.3308239466774,nan,False
fixed,no,backward,0.01,80.44667887687683,24,0.010844518115362295,8.861687274387009,nan,False
fixed,no,backward,0.0001,81.21625423431396,24,1.3441505557219537e-05,0.012616617427319914,nan,False
fixed,no,backward,1e-06,81.73974967002869,24,1.864777769066427e-10,3.649680209377648e-05,nan,False
fixed,no,backward,1e-08,83.55774664878845,20,50007.07538815671,2924.245975324139,nan,False
fixed,no,backward,1e-10,86.54235124588013,8,50412.70713560315,2940.536598574353,nan,False
fixed,no,backward,1e-12,84.31595230102539,11,50412.72311758798,2914.618209497056,nan,False
fixed,no,central,0.01,79.79530763626099,18,1.5336736589154592e-06,0.06548904634778845,nan,False
fixed,no,central,0.0001,81.35750985145569,12,3.706987476179045e-13,8.293542222069903e-06,nan,False
