Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,no,adaptive_forward,0.01,71.61387419700623,27,1026.971365128338,3.658811303893103e-06,1.000016561329159,True
fixed,no,adaptive_forward,0.0001,36.66967844963074,21,2.050829759282785,9.604982639503866e-06,0.4994386111088631,True
fixed,no,adaptive_forward,1e-06,40.24896216392517,23,0.00022558801881443838,1.0267525761062498e-08,0.589391203937396,True
fixed,no,adaptive_forward,1e-08,84.66200184822083,17,38640.86919343412,4574.461992568174,nan,False
fixed,no,adaptive_forward,1e-10,80.12020087242126,18,10221.029780108805,422.22225503482093,nan,False
fixed,no,adaptive_forward,1e-12,80.92774868011475,11,10232.907194597454,309.9109529329816,nan,False
fixed,no,adaptive_backward,0.01,80.02304983139038,46,431.969889650593,554.2672518028993,nan,False
fixed,no,adaptive_backward,0.0001,80.12743067741394,46,0.8536301178531371,3.4535799783619767,nan,False
fixed,no,adaptive_backward,1e-06,80.98466849327087,42,0.00022079429430672565,0.031938316602400436,nan,False
fixed,no,adaptive_backward,1e-08,80.30456590652466,26,3747.6130790708567,120.52999336196339,nan,False
fixed,no,adaptive_backward,1e-10,83.35242438316345,13,30850.38067037004,4589.251746915722,nan,False
fixed,no,adaptive_backward,1e-12,93.7426085472107,13,42084.94242493463,5019.746585292701,nan,False
fixed,no,adaptive_central,0.01,40.46193194389343,21,0.9611692586232687,3.5034523845685044e-07,0.44573727114092904,True
fixed,no,adaptive_central,0.0001,41.17594242095947,21,1.0001521092832644e-08,7.000944189745225e-08,0.841462735936493,True
fixed,no,adaptive_central,1e-06,48.036988496780396,24,1.0527654652417816e-16,1.0564842265186914e-08,2.360117934241917,True
fixed,no,adaptive_central,1e-08,82.13780999183655,30,38859.49006410048,6033.718055331318,nan,False
fixed,no,adaptive_central,1e-10,79.92049956321716,20,60496.78086124159,8233.409451063428,nan,False
fixed,no,adaptive_central,1e-12,89.03829979896545,13,10623.598621943229,654.5933902786421,nan,False
fixed,no,exact,nan,31.746633529663086,21,9.359939107848684e-18,1.5815603253211834e-08,0.7747551339945827,True
fixed,no,forward,0.01,69.06206512451172,26,1026.9713765929453,5.128223448819936e-06,1.0000300166621787,True
