Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,no,adaptive_forward,0.01,18.589527130126953,9,0.0014766215798421853,5.7483146636302645e-06,1.3003901344516877,True
fixed,no,adaptive_forward,0.0001,20.594443321228027,10,5.581906783492723e-06,9.863833127869522e-06,1.0225835526389644,True
fixed,no,adaptive_forward,1e-06,38.56970453262329,15,2.8821944080498057e-06,8.54240960535631e-06,1.1111410838082396,True
fixed,no,adaptive_forward,1e-08,81.29906058311462,28,53.41788125013213,2.2809052492967634,nan,False
fixed,no,adaptive_forward,1e-10,81.77688837051392,17,53.74993739907171,2.292372284428344,nan,False
fixed,no,adaptive_forward,1e-12,81.20703482627869,11,53.74999999563457,2.289540749355125,nan,False
fixed,no,adaptive_backward,0.01,80.0472207069397,39,0.0006773549939238707,0.0006761052914210055,nan,False
fixed,no,adaptive_backward,0.0001,22.933708667755127,11,1.867021929119852e-07,6.896048217527417e-06,0.9144080541408182,True
fixed,no,adaptive_backward,1e-06,37.50315976142883,15,7.068751444862809e-07,2.9990336372122338e-06,1.0001008314481463,True
fixed,no,adaptive_backward,1e-08,80.49028396606445,27,53.44476072086749,2.2821423983245643,nan,False
fixed,no,adaptive_backward,1e-10,81.81423020362854,27,53.74993961993372,2.2939491942405255,nan,False
fixed,no,adaptive_backward,1e-12,89.83788228034973,24,53.74999999590595,2.212338957023701,nan,False
fixed,no,adaptive_central,0.01,27.58089256286621,11,6.509803008989263e-07,3.891775086250411e-06,0.9878418685267597,True
fixed,no,adaptive_central,0.0001,27.662925004959106,11,7.190284771348529e-07,3.49715005978616e-06,0.9999987265869794,True
fixed,no,adaptive_central,1e-06,30.67047119140625,11,7.011358728504696e-07,3.2834464582829915e-06,1.000023116581472,True
fixed,no,adaptive_central,1e-08,81.92428278923035,27,53.131600017720906,2.2700423949736317,nan,False
fixed,no,adaptive_central,1e-10,82.42841458320618,27,53.74983199032443,2.294099230162426,nan,False
fixed,no,adaptive_central,1e-12,80.99406170845032,14,53.7499999854127,2.452087453525822,nan,False
fixed,no,exact,nan,21.404603958129883,14,3.514067408757544e-11,9.004916861742897e-06,0.99022250893678,True
fixed,no,forward,0.01,18.013989210128784,9,0.001461527638899392,3.635399344284342e-06,1.202162455500975,True
fixed,no,forward,0.0001,19.998385190963745,10,5.578708309964526e-06,9.856793242003472e-06,1.0225979300936987,True
fixed,no,forward,1e-06,35.6258065700531,13,1.0534014832257164e-06,5.100296926485597e-06,0.9997509691845988,True
fixed,no,forward,1e-08,80.7661600112915,25,53.476933120984704,2.2833703737585958,nan,False
fixed,no,forward,1e-10,85.5708658695221,18,53.749971868255074,2.2932622321013802,nan,False
fixed,no,forward,1e-12,82.26676058769226,16,53.74999999585666,2.101813757029311,nan,False
fixed,no,backward,0.01,81.10494208335876,41,0.0006825728503390114,0.0006791847132831769,nan,False
fixed,no,backward,0.0001,21.98725175857544,11,1.8691770929635558e-07,6.897276936219317e-06,0.9144615386430563,True
fixed,no,backward,1e-06,38.37721133232117,15,1.403835131189739e-06,7.115409726534505e-06,0.9997306735600273,True
fixed,no,backward,1e-08,79.7314133644104,29,53.43566621618309,2.2818100597005904,nan,False
fixed,no,backward,1e-10,90.0793445110321,20,53.74995940496039,2.293289997762698,nan,False
fixed,no,backward,1e-12,91.1891016960144,14,53.74999999604067,2.553963802542974,nan,False
fixed,no,central,0.01,25.940860986709595,11,6.504424567360891e-07,3.8897074744628374e-06,0.9878382421023683,True
fixed,no,central,0.0001,26.18906569480896,11,7.190150054151596e-07,3.4971052240427055e-06,0.9999987314555787,True
fixed,no,central,1e-06,30.21311044692993,11,9.046466428800803e-07,3.969080652575765e-06,1.0000128514115074,True
fixed,no,central,1e-08,82.23550462722778,28,53.11031987836261,2.26924357054192,nan,False
fixed,no,central,1e-10,83.43950319290161,19,53.74990600520361,2.2934315199181317,nan,False
fixed,no,central,1e-12,82.18225574493408,19,53.74999998954973,2.1972320632906746,nan,False
sampled,no,adaptive_forward,0.01,18.485528230667114,9,0.0014766215798421853,5.7483146636302645e-06,1.3003901344516877,True
sampled,no,adaptive_forward,0.0001,20.68539786338806,10,5.581906783492723e-06,9.863833127869522e-06,1.0225835526389644,True
sampled,no,adaptive_forward,1e-06,38.11782956123352,15,2.8821944080498057e-06,8.54240960535631e-06,1.1111410838082396,True
sampled,no,adaptive_forward,1e-08,81.64074373245239,28,53.41788125013213,2.2809052492967634,nan,False
sampled,no,adaptive_forward,1e-10,81.96436095237732,17,53.74993739907171,2.292372284428344,nan,False
sampled,no,adaptive_forward,1e-12,81.02367615699768,11,53.74999999563457,2.289540749355125,nan,False
sampled,no,adaptive_backward,0.01,81.03393864631653,40,0.000677354993923871,0.0006761052914210688,nan,False
sampled,no,adaptive_backward,0.0001,22.65717339515686,11,1.867021929119852e-07,6.896048217527417e-06,0.9144080541408182,True
sampled,no,adaptive_backward,1e-06,36.543580293655396,15,7.068751444862809e-07,2.9990336372122338e-06,1.0001008314481463,True
sampled,no,adaptive_backward,1e-08,81.05405640602112,28,53.43539468011039,2.2817666093414757,nan,False
sampled,no,adaptive_backward,1e-10,80.7386953830719,27,53.74993961993372,2.2939491942405255,nan,False
sampled,no,adaptive_backward,1e-12,89.17536640167236,24,53.74999999590595,2.212338957023701,nan,False
sampled,no,adaptive_central,0.01,27.450926303863525,11,6.509803008989263e-07,3.891775086250411e-06,0.9878418685267597,True
