Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,adaptive_forward,0.01,310.58881998062134,3,162.2774108982408,39.199141040422134,nan,False
fixed,superlinear,adaptive_forward,0.0001,360.9168703556061,4,48.40474505840662,31.16020416889964,nan,False
fixed,superlinear,adaptive_forward,1e-06,352.0193519592285,4,336.6820223024668,160.77742729004163,nan,False
fixed,superlinear,adaptive_forward,1e-08,355.3758201599121,1,200066.59682449827,4742.346977328208,nan,False
fixed,superlinear,adaptive_forward,1e-10,343.5865113735199,3,11657.15238111313,512.4798700570077,nan,False
fixed,superlinear,adaptive_forward,1e-12,348.3907928466797,4,164887.38667088642,9140.473406078403,nan,False
fixed,superlinear,adaptive_backward,0.01,341.82126474380493,4,175.04743516331652,123.0486978345569,nan,False
fixed,superlinear,adaptive_backward,0.0001,362.94364857673645,4,46.60594097074088,31.35656439259293,nan,False
fixed,superlinear,adaptive_backward,1e-06,363.81003856658936,4,45.88251129096842,30.740532175739023,nan,False
fixed,superlinear,adaptive_backward,1e-08,363.8819761276245,2,9444.869810430317,2132.445164163941,nan,False
fixed,superlinear,adaptive_backward,1e-10,362.42603850364685,4,2017.542044366989,258.1566489003797,nan,False
fixed,superlinear,adaptive_backward,1e-12,347.73886132240295,3,18033.008189407763,1112.7119253133794,nan,False
fixed,superlinear,adaptive_central,0.01,350.69827127456665,3,11340.507207645816,743.9657834434864,nan,False
fixed,superlinear,adaptive_central,0.0001,352.63208770751953,3,9607.1995312753,668.503145370935,nan,False
fixed,superlinear,adaptive_central,1e-06,352.6741111278534,3,9477.510198983065,662.8643130485822,nan,False
fixed,superlinear,adaptive_central,1e-08,352.19229316711426,3,11892.130324155232,525.7677892343169,nan,False
fixed,superlinear,adaptive_central,1e-10,352.65470266342163,2,12952.175245767994,546.5715522171492,nan,False
fixed,superlinear,adaptive_central,1e-12,301.929594039917,2,22327.886579916332,4003.370937408626,nan,False
fixed,superlinear,exact,nan,22.160831451416016,14,8.256379198741424e-11,9.853803238702657e-06,1.0009560967061208,True
fixed,superlinear,forward,0.01,318.9511215686798,3,161.81426559545105,39.03765158262586,nan,False
fixed,superlinear,forward,0.0001,363.81069803237915,4,48.40474505840662,31.16020416889964,nan,False
fixed,superlinear,forward,1e-06,363.16050815582275,4,49.02049104042506,31.415328090507117,nan,False
fixed,superlinear,forward,1e-08,363.92018485069275,1,216315.30996480514,5052.622408903389,nan,False
fixed,superlinear,forward,1e-10,362.61084365844727,4,14407.284972687066,811.867612801052,nan,False
fixed,superlinear,forward,1e-12,345.05993938446045,3,148793.10928286056,20483.246101687968,nan,False
fixed,superlinear,backward,0.01,347.0781831741333,4,167.30861163605624,121.33241125522522,nan,False
fixed,superlinear,backward,0.0001,348.8178594112396,4,333.7270814908762,161.10708333403025,nan,False
fixed,superlinear,backward,1e-06,359.70296907424927,4,337.61556933793617,161.23637710012588,nan,False
fixed,superlinear,backward,1e-08,361.47269916534424,4,705.4546538024093,154.10540874880041,nan,False
fixed,superlinear,backward,1e-10,362.86338114738464,4,12471.350398818295,540.6195608425907,nan,False
fixed,superlinear,backward,1e-12,345.09028720855713,4,9028.11373227545,3382.624895762109,nan,False
fixed,superlinear,central,0.01,384.92873096466064,3,11337.227818087837,743.8314972842369,nan,False
fixed,superlinear,central,0.0001,382.6496138572693,3,9607.199280264436,668.5031358267221,nan,False
fixed,superlinear,central,1e-06,375.96478724479675,3,9513.359116990345,664.4254196948613,nan,False
fixed,superlinear,central,1e-08,346.86447930336,3,11892.130324165968,525.7693020585705,nan,False
fixed,superlinear,central,1e-10,350.8286416530609,2,14532.3710672262,736.1328108121493,nan,False
fixed,superlinear,central,1e-12,348.23289227485657,3,16765.54602934076,321.52921011453464,nan,False
fixed,quadratic,adaptive_forward,0.01,318.8291349411011,3,162.2774108982408,39.199141040422134,nan,False
fixed,quadratic,adaptive_forward,0.0001,348.7862169742584,4,344.666270261367,155.09275035868825,nan,False
fixed,quadratic,adaptive_forward,1e-06,354.7596597671509,4,49.02049104042506,31.415328090507117,nan,False
fixed,quadratic,adaptive_forward,1e-08,355.5231740474701,1,220390.09043736345,5129.300452016193,nan,False
fixed,quadratic,adaptive_forward,1e-10,331.55370020866394,3,11657.15238111313,512.4798700570077,nan,False
fixed,quadratic,adaptive_forward,1e-12,356.27196979522705,4,164887.38667088642,9140.473406078403,nan,False
fixed,quadratic,adaptive_backward,0.01,334.6521279811859,4,175.04743516331652,123.0486978345569,nan,False
fixed,quadratic,adaptive_backward,0.0001,353.63010573387146,4,46.60594097074088,31.35656439259293,nan,False
