Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,adaptive_forward,0.01,307.11862230300903,8,27115.510511740762,522.3815350962426,nan,False
fixed,superlinear,adaptive_forward,0.0001,308.9403009414673,20,98264.10870165074,430.90560500331236,nan,False
fixed,superlinear,adaptive_forward,1e-06,308.95232677459717,12,44104.41078531927,1324.9984768198758,nan,False
fixed,superlinear,adaptive_forward,1e-08,309.556617975235,1,605000.0000000462,26035.942527442978,nan,False
fixed,superlinear,adaptive_forward,1e-10,309.55221676826477,3,103356.21898966942,652.1838428497884,nan,False
fixed,superlinear,adaptive_forward,1e-12,302.2404570579529,17,103544.18330911797,599.2845481370459,nan,False
fixed,superlinear,adaptive_backward,0.01,307.23415780067444,14,20822.49047174969,617.9686359110827,nan,False
fixed,superlinear,adaptive_backward,0.0001,309.585312128067,19,99969.98888751355,240.92697200362807,nan,False
fixed,superlinear,adaptive_backward,1e-06,303.64981055259705,17,7465.470176203326,716.4579249948781,nan,False
fixed,superlinear,adaptive_backward,1e-08,306.9947769641876,1,605000.0000000334,26033.803775238677,nan,False
fixed,superlinear,adaptive_backward,1e-10,308.0799922943115,13,6049.9048260357495,1079.1905642549884,nan,False
fixed,superlinear,adaptive_backward,1e-12,232.28497433662415,15,108093.49852174279,0.0,-1.9109056757566656,True
fixed,superlinear,adaptive_central,0.01,303.1664001941681,10,58602.43220555308,1761.2868114791522,nan,False
fixed,superlinear,adaptive_central,0.0001,303.83353781700134,11,100966.25971440556,427.40424021006106,nan,False
fixed,superlinear,adaptive_central,1e-06,7442.268239974976,8,77703.6976487692,235.29555275170802,nan,False
fixed,superlinear,adaptive_central,1e-08,312.33510971069336,2,604552.0819323035,26083.669821733605,nan,False
fixed,superlinear,adaptive_central,1e-10,314.12532138824463,12,101916.49522801199,410.9905904362823,nan,False
fixed,superlinear,adaptive_central,1e-12,234.61971282958984,8,97045.11542104525,0.0,2.1083643790965203,True
fixed,superlinear,exact,nan,54.02438235282898,64,1.0152514119603353e-12,6.367526696257609e-07,0.5777249584007197,True
fixed,superlinear,forward,0.01,308.91590118408203,8,26290.886853074488,348.91512255606267,nan,False
fixed,superlinear,forward,0.0001,307.6842131614685,21,97774.22486355789,421.38252309550137,nan,False
fixed,superlinear,forward,1e-06,307.1428818702698,6,60504.53328132521,428.61931096415947,nan,False
fixed,superlinear,forward,1e-08,308.17792677879333,1,605000.0000000399,26034.33099612123,nan,False
fixed,superlinear,forward,1e-10,308.2699601650238,11,2.4889317999302122e+32,0.0,nan,False
fixed,superlinear,forward,1e-12,309.0461723804474,14,601905.5349268924,33492.02244794288,nan,False
fixed,superlinear,backward,0.01,309.1553313732147,8,63063.3919180376,1958.4068161531634,nan,False
fixed,superlinear,backward,0.0001,309.11393308639526,20,99780.89824162099,362.18994183719116,nan,False
fixed,superlinear,backward,1e-06,307.03075790405273,3,96750.59917666067,4008.184513991154,nan,False
fixed,superlinear,backward,1e-08,308.21336007118225,1,605000.0000000371,26035.925844319794,nan,False
